method_key,feature_set,method_dir,algorithm,n_images,n_predictions,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy
xy_hsv | KMeans | Postprocessed Img10-segment of 5,xy_hsv,KMeans,KMeans,1,1,0.9976822730724332,0.5401482472341705,0.5394713054349458,0.09012091512743933,0.5803726796214668
hsv_texture_leung_malik | KMeans | Postprocessed Img03.jpg-segment of 5,hsv_texture_leung_malik,KMeans,KMeans,1,1,0.9741809709476487,0.5471442814413902,0.5393234765059448,0.2804562396593324,0.6592314816613882
rgb_texture_leung_malik | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,rgb_texture_leung_malik,Quarter Resize Mean Shift,Mean Shift,1,1,0.7411099137931034,0.661203888334995,0.5371376091059639,0.06807551552541477,0.5388307070550061
RGB_only | Sampled Mean Shift | Post Processed Img08-epanechnikov-0.5,RGB_only,Sampled Mean Shift,Mean Shift,1,1,0.7897917370567646,0.6826494732411191,0.5371084533856043,0.33296485197593106,0.7371665877525253
xy_lab | KMeans | Postprocessed Img03.jpg-segment of 5,xy_lab,KMeans,KMeans,1,1,0.9972321800750312,0.5324116934909557,0.5316261044248102,0.13178794323738338,0.5316027745934288
xy_rgb | Sampled Mean Shift | Post Processed Img09-meanshift-1.5,xy_rgb,Sampled Mean Shift,Mean Shift,1,1,0.5463551724163267,0.7193463067814004,0.5287859029962061,0.2892029325156386,0.7432232481060606
texture_leung_malik | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,texture_leung_malik,Quarter Resize Mean Shift,Mean Shift,1,1,0.7383078231292517,0.6492397806580259,0.5277848133326579,0.035876891011130375,0.5304369790351099
xy_rgb | KMeans | Postprocessed Img09-segment of 5,xy_rgb,KMeans,KMeans,1,1,0.5741237844432864,0.6731363646490243,0.5199512378612414,0.2999153623408132,0.700875946969697
rgb_texture_leung_malik | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-1.5,rgb_texture_leung_malik,Quarter Resize Mean Shift,Mean Shift,1,1,0.9919786096256684,0.5218095712861416,0.5196170552256005,0.32639245298856207,0.6490178172421163
rgb | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,rgb,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.6257320644216691,0.74790625,0.5167440354096945,0.23112284474957606,0.5989151398264224
